X1,X2,Y
1,0,1012.371653
1,10,1011.471678
1,15,1010.621702
1,18,1010.001719
1,20,1009.471734
1,30,1006.871807
1,40,1003.271908
1,50,998.972028
1,60,994.0721652
1,70,988.3723248
1,80,982.3724928
1,90,975.972672
1,100,969.2728596
2,0,1024.371317
2,10,1022.971356
2,15,1021.951385
2,18,1021.241404
2,20,1020.67142
2,30,1017.671504
2,40,1013.871611
2,50,1009.471734
2,60,1004.471874
2,70,998.8720308
2,80,992.8721988
2,90,979.97256
2,100,979.6725684
3,0,1036.370981
3,10,1034.471034
3,15,1033.19107
3,18,1032.381093
3,20,1031.77111
3,30,1028.471202
3,40,1024.571311
3,50,1020.071437
3,60,1014.97158
3,70,1009.371737
3,80,1003.471902
3,90,996.972084
3,100,990.2722716
4,0,1048.17065
4,10,1045.470726
4,15,1044.380757
4,18,1043.460782
4,20,1042.770802
4,30,1039.2709
4,40,1035.171014
4,50,1030.471146
4,60,1025.371289
4,70,1019.771446
4,80,1013.871611
4,90,1007.47179
4,100,1000.871975
5,0,1059.770326
5,10,1057.070401
5,15,1055.510445
5,18,1054.510473
5,20,1053.770494
5,30,1050.070597
5,40,1045.770718
5,50,1041.170846
5,60,1035.870995
5,70,1030.171154
5,80,1024.27132
5,90,1017.871499
5,100,1011.471678
6,0,1071.270004
6,10,1068.270088
6,15,1066.630134
6,18,1065.560163
6,20,1064.770186
6,30,1060.870295
6,40,1056.370421
6,50,1051.670552
6,60,1046.270704
6,70,1040.67086
6,80,1031.671112
6,90,1028.371205
6,100,1021.971384
7,0,1082.769682
7,10,1079.469774
7,15,1077.739822
7,18,1076.609854
7,20,1075.769878
7,30,1071.669992
7,40,1067.170118
7,50,1062.270256
7,60,1056.870407
7,70,1051.270564
7,80,1045.270732
7,90,1038.970908
7,100,1032.571087
8,0,1094.26936
8,10,1090.769458
8,15,1088.839512
8,18,1087.659545
8,20,1086.869567
8,30,1082.569687
8,40,1077.969816
8,50,1072.969956
8,60,1067.570107
8,70,1061.870267
8,80,1055.970432
8,90,1049.670608
8,100,1043.17079
9,0,1105.66904
9,10,1101.969144
9,15,1099.939201
9,18,1098.689236
9,20,1097.869259
9,30,1093.369385
9,40,1088.669516
9,50,1083.569659
9,60,1078.16981
9,70,1072.46997
9,80,1066.470138
9,90,1060.170314
9,100,1053.670496
10,0,1117.068721
10,10,1113.16883
10,15,1111.03889
10,18,1109.738926
10,20,1108.868951
10,30,1104.26908
10,40,1099.469214
10,50,1094.169362
10,60,1088.869511
10,70,1083.069673
10,80,1077.069841
10,90,1070.770018
10,100,1064.2702
12,0,1139.868083
12,10,1135.468206
12,15,1133.238268
12,18,1131.848307
12,20,1130.868335
12,30,1126.068469
12,40,1120.968612
12,50,1115.66876
12,60,1110.068917
12,70,1104.26908
12,80,1098.269248
12,90,1091.969424
12,100,1085.469606
14,0,1162.367453
14,10,1157.767582
14,15,1155.417647
14,18,1153.967688
14,20,1152.967716
14,30,1147.967856
14,40,1142.768002
14,50,1137.268156
14,60,1131.568315
14,70,1125.66848
14,80,1119.468654
14,90,1113.16883
14,100,1106.569015
16,0,1184.866823
16,10,1180.066957
16,15,1177.577027
16,18,1176.067069
16,20,1175.067097
16,30,1169.867243
16,40,1164.467394
16,50,1158.767554
16,60,1153.067713
16,70,1147.067881
16,80,1140.768058
16,90,1134.26824
16,100,1127.668424
18,0,1207.266196
18,10,1202.266336
18,15,1199.696408
18,18,1198.136451
18,20,1197.166478
18,30,1191.76663
18,40,1196.266504
18,50,1180.466946
18,60,1174.567111
18,70,1168.467282
18,80,1162.067461
18,90,1155.567643
18,100,1148.867831
20,0,1229.565571
20,10,1224.365717
20,15,1221.795789
20,18,1220.185834
20,20,1219.065865
20,30,1213.566019
20,40,1207.866179
20,50,1201.966344
20,60,1195.966512
20,70,1189.766686
20,80,1183.266868
20,90,1176.76705
20,100,1169.96724
22,0,1251.864947
22,10,1246.465098
22,15,1243.825172
22,18,1242.165218
22,20,1241.065249
22,30,1235.365409
22,40,1229.565571
22,50,1223.565739
22,60,1217.365913
22,70,1211.066089
22,80,1204.566271
22,90,1197.966456
22,100,1191.166646
24,0,1274.064325
24,10,1268.564479
24,15,1265.784557
24,18,1264.084605
24,20,1262.864639
24,30,1257.064801
24,40,1251.164966
24,50,1245.065137
24,60,1238.765314
24,70,1232.365493
24,80,1225.865675
24,90,1219.165862
24,100,1212.366053
26,0,1296.263704
26,10,1290.563863
26,15,1287.663944
26,18,1285.963992
26,20,1284.764026
26,30,1278.864191
26,40,1272.764362
26,50,1266.564535
26,60,1260.264712
26,70,1253.764894
26,80,1247.165078
26,90,1240.465266
26,100,1233.565459
28,0,1318.16309
28,10,1312.363253
28,15,1309.363337
28,18,1307.563387
28,20,1306.363421
28,30,1300.163594
28,40,1294.163762
28,50,1287.763942
28,60,1281.364121
28,70,1274.9643
28,80,1268.16449
28,90,1261.464678
28,100,1254.564871
30,0,1339.96248
30,10,1333.962648
30,15,1330.862735
30,18,1328.962788
30,20,1327.862819
30,30,1321.662992
30,40,1315.363169
30,50,1308.963348
30,60,1302.46353
30,70,1295.863715
30,80,1289.163902
30,90,1282.364093
30,100,1375.461486
32,0,1361.361881
32,10,1355.162054
32,15,1351.962144
32,18,1350.162194
32,20,1348.962228
32,30,1342.662404
32,40,1336.162586
32,50,1329.762766
32,60,1323.16295
32,70,1316.463138
32,80,1309.663328
32,90,1302.863519
32,100,1295.963712
34,0,1382.261296
34,10,1375.961472
34,15,1372.761562
34,18,1370.761618
34,20,1369.561651
34,30,1363.16183
34,40,1356.562015
34,50,1350.062197
34,60,1343.362385
34,70,1336.662572
34,80,1329.862763
34,90,1322.962956
34,100,1316.063149
36,0,1402.960716
36,10,1396.460898
36,15,1393.260988
36,18,1391.261044
36,20,1389.96108
36,30,1383.461262
36,40,1376.76145
36,50,1370.161634
36,60,1363.361825
36,70,1356.662012
36,80,1349.762206
36,90,1342.862399
36,100,1335.962592
38,0,1423.360145
38,10,1416.76033
38,15,1413.460422
38,18,1411.460478
38,20,1410.060517
38,30,1403.460702
38,40,1396.660892
38,50,1389.96108
38,60,1383.16127
38,70,1376.261464
38,80,1369.461654
38,90,1362.561847
38,100,1355.562043
40,0,1443.459582
40,10,1436.659772
40,15,1433.359865
40,18,1431.359921
40,20,1429.95996
40,30,1423.16015
40,40,1416.360341
40,50,1409.460534
40,60,1402.660724
40,70,1395.760918
40,80,1388.861111
40,90,1381.961304
40,100,1374.9615
42,0,1463.15903
42,10,1456.059229
42,15,1452.859319
42,18,1450.759378
42,20,1449.359417
42,30,1442.45961
42,40,1435.559803
42,50,1428.659996
42,60,1421.660192
42,70,1414.760386
42,80,1407.860579
42,90,1400.860775
42,100,1393.960968
44,0,1482.45849
44,10,1475.458686
44,15,1471.958784
44,18,1469.858843
44,20,1468.458882
44,30,1461.459078
44,40,1454.459274
44,50,1447.45947
44,60,1440.459666
44,70,1433.459862
44,80,1426.560055
44,90,1419.560251
44,100,1412.660444
46,0,1501.75795
46,10,1494.658148
46,15,1491.058249
46,18,1488.958308
46,20,1487.258356
46,30,1480.458546
46,40,1473.358745
46,50,1466.258944
46,60,1459.25914
46,70,1452.259336
46,80,1445.359529
46,90,1438.359725
46,100,1431.459918
48,0,1520.957412
48,10,1513.757614
48,15,1510.157714
48,18,1507.957776
48,20,1506.457818
48,30,1499.358017
48,40,1492.158218
48,50,1485.058417
48,60,1478.058613
48,70,1471.058809
48,80,1464.059005
48,90,1457.159198
48,100,1450.259392
50,0,1539.95688
50,10,1532.557087
50,15,1528.957188
50,18,1526.75725
50,20,1525.257292
50,30,1518.057493
50,40,1510.857695
50,50,1503.757894
50,60,1496.658092
50,70,1489.658288
50,80,1482.658484
50,90,1475.858675
50,100,1468.958868
